id;name;city;country;longitude;latitude
53;Estación de Clermont-Ferrand;Clermont-Ferrand;Francia;3.100671;45.778691
6;Estacion de Coimbra;Coimbra;Portugal;-8.434084;40.210548
24;Estación de Córdoba;Córdoba;España;-4.789338;37.888681
172;Estación Central de Cottbus;Cottbus;Alemania;14.324158;51.750934
146;Estación Central de Darmstadt;Darmstadt;Alemania;8.62963;49.872503
101;Estación Central de Den Haag;Den Haag;Holanda;4.324560463;52.08083294
173;Estación Central de Dessau;Dessau;Alemania;12.234889;51.839902
71;Estación de Dijon-Ville;Dijon;Francia;5.027155;47.323077
160;Estación Central de Dortmund;Dortmund;Alemania;7.459285;51.517957
170;Estación Central de Dresden;Dresden;Alemania;13.732056;51.040617
156;Estación Central de Duisburg;Duisburg;Alemania;6.775892;51.429791
155;Estación Central de Dusseldorf;Dusseldorf;Alemania;6.794334;51.219937
88;Estación de Edinburgh Waverley;Edinburgh;Gran Bretaña;-3.188267;55.952648
106;Estación Central de Eindhoven;Eindhoven;Holanda;5.479559898;51.44301447
165;Estación Central de Erfurt;Erfurt;Alemania;11.038491;50.972579
157;Estación Central de Essen;Essen;Alemania;7.014464736;51.45147634
5;Estacion de Faro;Faro;Portugal;-7.940356;37.019098
123;Estación de Firenze Santa Maria Novella;Firenze;Italia;11.247844;43.776828
116;Estación de Foggia;Foggia;Italia;15.555886;41.465944
150;Estación Central de Frankfurt;Frankfurt;Alemania;8.349711;49.53557
136;Estación Central de Freiburg;Freiburg;Alemania;7.841599;47.997684
166;Estación de Fulda;Fulda;Alemania;9.683987;50.554731
107;Estación de Geneve-Cornavin;Geneve;Suiza;6.142386;46.210255
134;Estación de Genova Piazza Principe;Genova;Italia;8.922072;44.417492
92;Estación de Gent-Sint-Pieters;Gent;Bélgica;3.710606;51.035603
13;Estación de Gijón;Gijón;España;-5.675951;43.537725
89;Estación de Glasgow Central;Glasgow;Gran Bretaña;-4.258101;55.859684
27;Estación de Granada;Granada;España;-3.609075844;37.18385408
55;Estación de Grenoble;Grenoble;Francia;5.714301;45.191361
98;Estación de Groningen;Groningen;Holanda;6.564100385;53.21093204
2;Estación de Guimarães;Guimarães;Portugal;-8.29441;41.43448
159;Estación Central de Hagen;Hagen;Alemania;7.460286;51.362739
181;Estación Central de Hamburg;Hamburg;Alemania;10.006864;53.552708
163;Estación Central de Hannover;Hannover;Alemania;9.741002;52.376734
144;Estación Central de Heidelberg;Heidelberg;Alemania;8.675744;49.403786
164;Estación Jena Paradies;Jena;Alemania;11.58746;50.924868
137;Estación Central de Karlsruhe;Karlsruhe;Alemania;8.401848;48.993509
162;Estación Central de Kassel;Kassel;Alemania;9.489386;51.318412
183;Estación Central de Kiel;Kiel;Alemania;10.131942;54.314944
154;Estación Central de Koln;Koln;Alemania;6.959109306;50.94279302
127;Estación Central de La Spezia;La Spezia;Italia;9.813678;44.111691
108;Estación de Lausanne ;Lausanne;Suiza;6.629044;46.516669
60;Estación de Le Havre;Le Havre;Francia;0.125713;49.492841
61;Estación de Le Mans;Le Mans;Francia;0.190263;47.995451
85;Estación de Leeds;Leeds;Gran Bretaña;-1.548931;53.794695
